decimalLatitude,decimalLongitude,season
-38.282,144.511,Winter: June-August
-38.17587,145.06233,Winter: June-August
-38.417,142.517,Winter: June-August
-38.37854,145.25023,Winter: June-August
-38.5466,146.98398,Autumn: March-May
-39.13365,146.42568,Spring: September-November
-38.41368,142.49676,Winter: June-August
-38.28667,144.68667,Winter: June-August
-38.403,142.463,Winter: June-August
-38.372,142.26,Autumn: March-May
-38.34215,144.70763,Winter: June-August
-38.417,142.517,Winter: June-August
-38.94978,146.70302,Spring: September-November
-37.8964,147.94645,Spring: September-November
-38.39951,142.24454,Winter: June-August
-38.25,145.28333,Winter: June-August
-38.31026,144.7686,Winter: June-August
-38.417,142.011,Winter: June-August
-38.403,142.463,Winter: June-August
-38.417,142.517,Winter: June-August
-39.12959,146.42166,Winter: June-August
-38.70299,145.58733,Winter: June-August
-39.13365,146.42568,Spring: September-November
-38.44611,145.2375,Winter: June-August
-38.37481,142.35859,Winter: June-August
-38.417,142.517,Winter: June-August
-38.43873,144.84567,Spring: September-November
-38.996,146.243,Winter: June-August
-39.04744,146.31429,Winter: June-August
-38.6115,142.8651,Spring: September-November
-38.89018,143.47636,Autumn: March-May
-37.50411,149.97823,Winter: June-August
-38.25743,145.28742,Winter: June-August
-38.372,142.26,Winter: June-August
-37.55368,149.90551,Winter: June-August
-38.64013,148.24295,Spring: September-November
-38.417,142.517,Winter: June-August
-38.438,142.585,Winter: June-August
-38.634,143.9,Spring: September-November
-38.91422,145.91952,Winter: June-August
-37.50219,149.98268,Winter: June-August
-38.66519,143.00136,Autumn: March-May
-39.2021,146.44813,Spring: September-November
-38.29017,144.693,Winter: June-August
-38.417,142.517,Spring: September-November
-38.06667,145.11667,Summer: December-February
-38.4092,141.4108,Winter: June-August
-38.399,144.795,Autumn: March-May
-39.13081,146.42786,Spring: September-November
-38.44385,145.23841,Winter: June-August
-38.15,144.554,Spring: September-November
-38.5,147.81667,Autumn: March-May
-38.62484,142.96406,Spring: September-November
-37.98491,144.87819,Winter: June-August
-38.322,144.746,Winter: June-August
-39.12987,146.41977,Winter: June-August
-37.50483,149.98505,Spring: September-November
-38.417,142.517,Winter: June-August
-38.372,142.26,Spring: September-November
-38.438,142.585,Winter: June-August
-38.417,142.517,Winter: June-August
-38.37354,141.62638,Winter: June-August
-38.4,141.65,Winter: June-August
-39.13007,146.43034,Winter: June-August
-37.76038,149.53904,Winter: June-August
-38.5235,145.143,Winter: June-August
